UID,FriendlyPointNameV2,FriendlyPointNameV3,LocationTag,EquipTag,PointTag,Category,Class
PC100818B:NAE55-3/TRANE.Device-51.Binary Outputs.BO-39.Present Value,CP CoolingTower3 OnOffStatus,CP_CoolingTower3_OnOffStatus,CP,CoolingTower3,OnOffStatus,ChillerPlant,Binary
PC100818B:NAE55-3/TRANE.Device-51.Analog Outputs.AO-63.Present Value,CP CoolingTower4 CondenserWaterSupplyTemp,CP_CoolingTower4_CondenserWaterSupplyTemp,CP,CoolingTower4,CondenserWaterSupplyTemp,ChillerPlant,Analog
PC100818B:NAE55-3/TRANE.Device-51.Binary Outputs.BO-41.Present Value,CP CoolingTower4 OnOffStatus,CP_CoolingTower4_OnOffStatus,CP,CoolingTower4,OnOffStatus,ChillerPlant,Binary
PC100818B:NAE55-3/TRANE.Device-51.Analog Outputs.AO-64.Present Value,CP CoolingTower5 CondenserWaterSupplyTemp,CP_CoolingTower5_CondenserWaterSupplyTemp,CP,CoolingTower5,CondenserWaterSupplyTemp,ChillerPlant,Analog
PC100818B:NAE55-3/TRANE.Device-51.Binary Outputs.BO-43.Present Value,CP CoolingTower5 OnOffStatus,CP_CoolingTower5_OnOffStatus,CP,CoolingTower5,OnOffStatus,ChillerPlant,Binary
PC100818B:NAE55-3/TRANE.Device-51.Analog Outputs.AO-65.Present Value,CP CoolingTower6 CondenserWaterSupplyTemp,CP_CoolingTower6_CondenserWaterSupplyTemp,CP,CoolingTower6,CondenserWaterSupplyTemp,ChillerPlant,Analog
PC100818B:NAE55-3/TRANE.Device-51.Binary Outputs.BO-45.Present Value,CP CoolingTower6 OnOffStatus,CP_CoolingTower6_OnOffStatus,CP,CoolingTower6,OnOffStatus,ChillerPlant,Binary
PC100818B:NAE55-3/TRANE.Device-51.Analog Outputs.AO-66.Present Value,CP CoolingTower7 CondenserWaterSupplyTemp,CP_CoolingTower7_CondenserWaterSupplyTemp,CP,CoolingTower7,CondenserWaterSupplyTemp,ChillerPlant,Analog
PC100818B:NAE55-3/TRANE.Device-51.Binary Outputs.BO-47.Present Value,CP CoolingTower7 OnOffStatus,CP_CoolingTower7_OnOffStatus,CP,CoolingTower7,OnOffStatus,ChillerPlant,Binary
PC100818B:NAE55-3/TRANE.Device-51.Analog Outputs.AO-67.Present Value,CP CoolingTower8 CondenserWaterSupplyTemp,CP_CoolingTower8_CondenserWaterSupplyTemp,CP,CoolingTower8,CondenserWaterSupplyTemp,ChillerPlant,Analog
PC100818B:NAE55-3/TRANE.Device-51.Binary Outputs.BO-49.Present Value,CP CoolingTower8 OnOffStatus,CP_CoolingTower8_OnOffStatus,CP,CoolingTower8,OnOffStatus,ChillerPlant,Binary
PC100818B:NAE55-3/TRANE.Device-51.Analog Outputs.AO-68.Present Value,CP CoolingTower9 CondenserWaterSupplyTemp,CP_CoolingTower9_CondenserWaterSupplyTemp,CP,CoolingTower9,CondenserWaterSupplyTemp,ChillerPlant,Analog
PC100818B:NAE55-3/TRANE.Device-51.Binary Outputs.BO-51.Present Value,CP CoolingTower9 OnOffStatus,CP_CoolingTower9_OnOffStatus,CP,CoolingTower9,OnOffStatus,ChillerPlant,Binary
PC100818B:NAE55-3/TRANE.Device-51.Analog Outputs.AO-59.Present Value,CP ChillerPlantRiserMainHeader CondenserWaterReturnTemp,CP_ChillerPlantRiserMainHeader_CondenserWaterReturnTemp,CP,ChillerPlantRiserMainHeader,CondenserWaterReturnTemp,ChillerPlantSystem,Analog
PC100818B:NAE55-3/TRANE.Device-51.Analog Outputs.AO-58.Present Value,CP ChillerPlantRiserMainHeader CondenserWaterSupplyTemp,CP_ChillerPlantRiserMainHeader_CondenserWaterSupplyTemp,CP,ChillerPlantRiserMainHeader,CondenserWaterSupplyTemp,ChillerPlantSystem,Analog
PC100818B:NAE55-3/TRANE.Device-51.Analog Outputs.AO-82.Present Value,CP ChillerPlantSystem Efficiency,CP_ChillerPlantSystem_Efficiency,CP,ChillerPlantSystem,Efficiency,ChillerPlantSystem,Analog
PC100818B:NAE55-3/TRANE.Device-51.Analog Outputs.AO-74.Present Value,CP ChillerPlantSystem kW,CP_ChillerPlantSystem_kW,CP,ChillerPlantSystem,kW,ChillerPlantSystem,Analog
PC100818B:NAE55-3/TRANE.Device-51.Binary Outputs.BO-61.Present Value,CP ChillerPlantSystem OnOffStatus,CP_ChillerPlantSystem_OnOffStatus,CP,ChillerPlantSystem,OnOffStatus,ChillerPlantSystem,Binary
PC100818B:NAE55-3/TRANE.Device-51.Analog Outputs.AO-79.Present Value,CP TotalChilledWaterPump Efficiency,CP_TotalChilledWaterPump_Efficiency,CP,TotalChilledWaterPump,Efficiency,ChillerPlantSystem,Analog
PC100818B:NAE55-3/TRANE.Device-51.Analog Outputs.AO-71.Present Value,CP TotalChilledWaterPump kW,CP_TotalChilledWaterPump_kW,CP,TotalChilledWaterPump,kW,ChillerPlantSystem,Analog
PC100818B:NAE55-3/TRANE.Device-51.Analog Outputs.AO-78.Present Value,CP TotalChiller Efficiency,CP_TotalChiller_Efficiency,CP,TotalChiller,Efficiency,ChillerPlantSystem,Analog
PC100818B:NAE55-3/TRANE.Device-51.Analog Outputs.AO-70.Present Value,CP TotalChiller kW,CP_TotalChiller_kW,CP,TotalChiller,kW,ChillerPlantSystem,Analog
PC100818B:NAE55-3/TRANE.Device-51.Analog Outputs.AO-80.Present Value,CP TotalCondenserWaterPump Efficiency,CP_TotalCondenserWaterPump_Efficiency,CP,TotalCondenserWaterPump,Efficiency,ChillerPlantSystem,Analog
PC100818B:NAE55-3/TRANE.Device-51.Analog Outputs.AO-72.Present Value,CP TotalCondenserWaterPump kW,CP_TotalCondenserWaterPump_kW,CP,TotalCondenserWaterPump,kW,ChillerPlantSystem,Analog
PC100818B:NAE55-3/TRANE.Device-51.Analog Outputs.AO-81.Present Value,CP TotalCoolingTowerSystem Efficiency,CP_TotalCoolingTowerSystem_Efficiency,CP,TotalCoolingTowerSystem,Efficiency,ChillerPlantSystem,Analog
PC100818B:NAE55-3/TRANE.Device-51.Analog Outputs.AO-73.Present Value,CP TotalCoolingTowerSystem kW,CP_TotalCoolingTowerSystem_kW,CP,TotalCoolingTowerSystem,kW,ChillerPlantSystem,Analog
PC100818B:NAE55-3/TRANE.Device-51.Analog Outputs.AO-85.Present Value,CP WeatherStation1 OutdoorAirHumidity,CP_WeatherStation1_OutdoorAirHumidity,CP,WeatherStation1,OutdoorAirHumidity,ChillerPlantSystem,Analog
PC100818B:NAE55-3/TRANE.Device-51.Analog Outputs.AO-84.Present Value,CP WeatherStation1 OutdoorAirWetbulbTemp,CP_WeatherStation1_OutdoorAirWetbulbTemp,CP,WeatherStation1,OutdoorAirWetbulbTemp,ChillerPlantSystem,Analog
PC100818B:NAE55-3/TRANE.Device-51.Analog Outputs.AO-83.Present Value,CP WeatherStation1 OutdoorTemp,CP_WeatherStation1_OutdoorTemp,CP,WeatherStation1,OutdoorTemp,ChillerPlantSystem,Analog
PC100818B:NAE55-3/TRANE.Device-51.Analog Outputs.AO-88.Present Value,CP WeatherStation2 OutdoorAirHumidity,CP_WeatherStation2_OutdoorAirHumidity,CP,WeatherStation2,OutdoorAirHumidity,ChillerPlantSystem,Analog
PC100818B:NAE55-3/TRANE.Device-51.Analog Outputs.AO-87.Present Value,CP WeatherStation2 OutdoorAirWetbulbTemp,CP_WeatherStation2_OutdoorAirWetbulbTemp,CP,WeatherStation2,OutdoorAirWetbulbTemp,ChillerPlantSystem,Analog
PC100818B:NAE55-3/TRANE.Device-51.Analog Outputs.AO-86.Present Value,CP WeatherStation2 OutdoorTemp,CP_WeatherStation2_OutdoorTemp,CP,WeatherStation2,OutdoorTemp,ChillerPlantSystem,Analog
PC100818B:NAE55-6/LON Trunk1.VAV EB2 BLK.LEVEL 1.VAV EB2 1-1-1.nvoBoxFlow.Present Value,BA VAV 01-01-01 ZoneAirflow,BA_VAV_01_01_01_ZoneAirflow,BA,VAV 01-01-01,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-6/LON Trunk1.VAV EB2 BLK.LEVEL 1.VAV EB2 1-1-2.nvoBoxFlow.Present Value,BA VAV 01-01-02 ZoneAirflow,BA_VAV_01_01_02_ZoneAirflow,BA,VAV 01-01-02,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-6/LON Trunk1.VAV EB2 BLK.LEVEL 1.VAV EB2 1-1-3.nvoBoxFlow.Present Value,BA VAV 01-01-03 ZoneAirflow,BA_VAV_01_01_03_ZoneAirflow,BA,VAV 01-01-03,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-6/LON Trunk1.VAV EB2 BLK.LEVEL 1.VAV EB2 1-1-4.nvoBoxFlow.Present Value,BA VAV 01-01-04 ZoneAirflow,BA_VAV_01_01_04_ZoneAirflow,BA,VAV 01-01-04,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-6/LON Trunk1.VAV EB2 BLK.LEVEL 1.VAV EB2 1-1-5.nvoBoxFlow.Present Value,BA VAV 01-01-05 ZoneAirflow,BA_VAV_01_01_05_ZoneAirflow,BA,VAV 01-01-05,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-6/LON Trunk1.VAV EB2 BLK.LEVEL 1.VAV EB2 1-1-6.nvoBoxFlow.Present Value,BA VAV 01-01-06 ZoneAirflow,BA_VAV_01_01_06_ZoneAirflow,BA,VAV 01-01-06,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-6/LON Trunk1.VAV EB2 BLK.LEVEL 1.VAV EB2 1-1-7.nvoBoxFlow.Present Value,BA VAV 01-01-07 ZoneAirflow,BA_VAV_01_01_07_ZoneAirflow,BA,VAV 01-01-07,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-6/LON Trunk1.VAV EB2 BLK.LEVEL 1.VAV EB2 1-1-8.nvoBoxFlow.Present Value,BA VAV 01-01-08 ZoneAirflow,BA_VAV_01_01_08_ZoneAirflow,BA,VAV 01-01-08,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-6/LON Trunk1.VAV EB2 BLK.LEVEL 2.VAV EB2 2-1-1.nvoBoxFlow.Present Value,BA VAV 02-01-01 ZoneAirflow,BA_VAV_02_01_01_ZoneAirflow,BA,VAV 02-01-01,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-6/LON Trunk1.VAV EB2 BLK.LEVEL 6.VAV EB2 6-1-1.nvoBoxFlow.Present Value,BA VAV 06-01-01 ZoneAirflow,BA_VAV_06_01_01_ZoneAirflow,BA,VAV 06-01-01,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-6/LON Trunk1.VAV EB2 BLK.LEVEL 6.VAV EB2 6-1-2.nvoBoxFlow.Present Value,BA VAV 06-01-02 ZoneAirflow,BA_VAV_06_01_02_ZoneAirflow,BA,VAV 06-01-02,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-6/LON Trunk1.VAV EB2 BLK.LEVEL 6.VAV EB2 6-1-3.nvoBoxFlow.Present Value,BA VAV 06-01-03 ZoneAirflow,BA_VAV_06_01_03_ZoneAirflow,BA,VAV 06-01-03,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-6/LON Trunk1.VAV EB2 BLK.LEVEL 6.VAV EB2 6-1-4.nvoBoxFlow.Present Value,BA VAV 06-01-04 ZoneAirflow,BA_VAV_06_01_04_ZoneAirflow,BA,VAV 06-01-04,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-6/LON Trunk1.VAV EB2 BLK.LEVEL 6.VAV EB2 6-1-5.nvoBoxFlow.Present Value,BA VAV 06-01-05 ZoneAirflow,BA_VAV_06_01_05_ZoneAirflow,BA,VAV 06-01-05,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-6/LON Trunk1.VAV EB2 BLK.LEVEL 6.VAV EB2 6-2-1.nvoBoxFlow.Present Value,BA VAV 06-02-01 ZoneAirflow,BA_VAV_06_02_01_ZoneAirflow,BA,VAV 06-02-01,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-6/LON Trunk1.VAV EB2 BLK.LEVEL 6.VAV EB2 6-2-2.nvoBoxFlow.Present Value,BA VAV 06-02-02 ZoneAirflow,BA_VAV_06_02_02_ZoneAirflow,BA,VAV 06-02-02,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-6/LON Trunk1.VAV EB2 BLK.LEVEL 6.VAV EB2 6-2-3.nvoBoxFlow.Present Value,BA VAV 06-02-03 ZoneAirflow,BA_VAV_06_02_03_ZoneAirflow,BA,VAV 06-02-03,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-6/LON Trunk1.VAV EB2 BLK.LEVEL 6.VAV EB2 6-2-4.nvoBoxFlow.Present Value,BA VAV 06-02-04 ZoneAirflow,BA_VAV_06_02_04_ZoneAirflow,BA,VAV 06-02-04,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-6/LON Trunk1.VAV EB2 BLK.LEVEL 6.VAV EB2 6-2-5.nvoBoxFlow.Present Value,BA VAV 06-02-05 ZoneAirflow,BA_VAV_06_02_05_ZoneAirflow,BA,VAV 06-02-05,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-6/LON Trunk1.VAV EB2 BLK.LEVEL 6.VAV EB2 6-2-6.nvoBoxFlow.Present Value,BA VAV 06-02-06 ZoneAirflow,BA_VAV_06_02_06_ZoneAirflow,BA,VAV 06-02-06,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-6/LON Trunk1.VAV EB2 BLK.LEVEL 6.VAV EB2 6-2-7.nvoBoxFlow.Present Value,BA VAV 06-02-07 ZoneAirflow,BA_VAV_06_02_07_ZoneAirflow,BA,VAV 06-02-07,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-6/LON Trunk1.VAV  EB2 BLK.LEVEL 6.VAV A-6-2-8.nvoBoxFlow.Present Value,BA VAV 06-02-08 ZoneAirflow,BA_VAV_06_02_08_ZoneAirflow,BA,VAV 06-02-08,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 2_1A.VAV EB1A 1-2-1.nvoBoxFlow.Present Value,BB VAV 01-02-01 ZoneAirflow,BB_VAV_01_02_01_ZoneAirflow,BB,VAV 01-02-01,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 2_1A.VAV EB1A 1-2-2.nvoBoxFlow.Present Value,BB VAV 01-02-02 ZoneAirflow,BB_VAV_01_02_02_ZoneAirflow,BB,VAV 01-02-02,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 2_1A.VAV EB1A 1-2-3.nvoBoxFlow.Present Value,BB VAV 01-02-03 ZoneAirflow,BB_VAV_01_02_03_ZoneAirflow,BB,VAV 01-02-03,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 2_1A.VAV EB1A 1-2-4.nvoBoxFlow.Present Value,BB VAV 01-02-04 ZoneAirflow,BB_VAV_01_02_04_ZoneAirflow,BB,VAV 01-02-04,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 2_1A.VAV EB1A 1-2-5.nvoBoxFlow.Present Value,BB VAV 01-02-05 ZoneAirflow,BB_VAV_01_02_05_ZoneAirflow,BB,VAV 01-02-05,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 2_1A.VAV EB1A 1-2-6.nvoBoxFlow.Present Value,BB VAV 01-02-06 ZoneAirflow,BB_VAV_01_02_06_ZoneAirflow,BB,VAV 01-02-06,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 2_1A.VAV EB1A 1-2-7.nvoBoxFlow.Present Value,BB VAV 01-02-07 ZoneAirflow,BB_VAV_01_02_07_ZoneAirflow,BB,VAV 01-02-07,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 2_1A.VAV EB1A 1-2-8.nvoBoxFlow.Present Value,BB VAV 01-02-08 ZoneAirflow,BB_VAV_01_02_08_ZoneAirflow,BB,VAV 01-02-08,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 2_1A.VAV EB1A 1-2-9.nvoBoxFlow.Present Value,BB VAV 01-02-09 ZoneAirflow,BB_VAV_01_02_09_ZoneAirflow,BB,VAV 01-02-09,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 2_1A.VAV EB1A 1-2-10.nvoBoxFlow.Present Value,BB VAV 01-02-10 ZoneAirflow,BB_VAV_01_02_10_ZoneAirflow,BB,VAV 01-02-10,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 2_1A.VAV EB1A 1-2-11.nvoBoxFlow.Present Value,BB VAV 01-02-11 ZoneAirflow,BB_VAV_01_02_11_ZoneAirflow,BB,VAV 01-02-11,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 2_1A.VAV EB1A 1-2-12.nvoBoxFlow.Present Value,BB VAV 01-02-12 ZoneAirflow,BB_VAV_01_02_12_ZoneAirflow,BB,VAV 01-02-12,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 2_1A.VAV EB1A 1-2-13.nvoBoxFlow.Present Value,BB VAV 01-02-13 ZoneAirflow,BB_VAV_01_02_13_ZoneAirflow,BB,VAV 01-02-13,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 2_1A.VAV EB1A 1-2-14.nvoBoxFlow.Present Value,BB VAV 01-02-14 ZoneAirflow,BB_VAV_01_02_14_ZoneAirflow,BB,VAV 01-02-14,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 3.VAV EB1 1-3-1.nvoBoxFlow.Present Value,BB VAV 01-03-01 ZoneAirflow,BB_VAV_01_03_01_ZoneAirflow,BB,VAV 01-03-01,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 3.VAV EB1 1-3-2.nvoBoxFlow.Present Value,BB VAV 01-03-02 ZoneAirflow,BB_VAV_01_03_02_ZoneAirflow,BB,VAV 01-03-02,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 3.VAV EB1 1-3-3.nvoBoxFlow.Present Value,BB VAV 01-03-03 ZoneAirflow,BB_VAV_01_03_03_ZoneAirflow,BB,VAV 01-03-03,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 3.VAV EB1 1-3-4.nvoBoxFlow.Present Value,BB VAV 01-03-04 ZoneAirflow,BB_VAV_01_03_04_ZoneAirflow,BB,VAV 01-03-04,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 3.VAV EB1 1-3-5.nvoBoxFlow.Present Value,BB VAV 01-03-05 ZoneAirflow,BB_VAV_01_03_05_ZoneAirflow,BB,VAV 01-03-05,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 4.VAV EB1 1-4-1.nvoBoxFlow.Present Value,BB VAV 01-04-01 ZoneAirflow,BB_VAV_01_04_01_ZoneAirflow,BB,VAV 01-04-01,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 4.VAV EB1 1-4-2.nvoBoxFlow.Present Value,BB VAV 01-04-02 ZoneAirflow,BB_VAV_01_04_02_ZoneAirflow,BB,VAV 01-04-02,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 4.VAV EB1 1-4-3.nvoBoxFlow.Present Value,BB VAV 01-04-03 ZoneAirflow,BB_VAV_01_04_03_ZoneAirflow,BB,VAV 01-04-03,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 4.VAV EB1 1-4-4.nvoBoxFlow.Present Value,BB VAV 01-04-04 ZoneAirflow,BB_VAV_01_04_04_ZoneAirflow,BB,VAV 01-04-04,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 4.VAV EB1 1-4-5.nvoBoxFlow.Present Value,BB VAV 01-04-05 ZoneAirflow,BB_VAV_01_04_05_ZoneAirflow,BB,VAV 01-04-05,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-4/LON Trunk1.VAV EB1A BLK.LEVEL 5.VAV EB1 1-5-1.nvoBoxFlow.Present Value,BB VAV 01-05-01 ZoneAirflow,BB_VAV_01_05_01_ZoneAirflow,BB,VAV 01-05-01,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-4/LON Trunk1.VAV EB1A BLK.LEVEL 5.VAV EB1 1-5-2.nvoBoxFlow.Present Value,BB VAV 01-05-02 ZoneAirflow,BB_VAV_01_05_02_ZoneAirflow,BB,VAV 01-05-02,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-4/LON Trunk1.VAV EB1A BLK.LEVEL 5.VAV EB1 1-5-3.nvoBoxFlow.Present Value,BB VAV 01-05-03 ZoneAirflow,BB_VAV_01_05_03_ZoneAirflow,BB,VAV 01-05-03,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-4/LON Trunk1.VAV EB1A BLK.LEVEL 5.VAV EB1 1-5-4.nvoBoxFlow.Present Value,BB VAV 01-05-04 ZoneAirflow,BB_VAV_01_05_04_ZoneAirflow,BB,VAV 01-05-04,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-4/LON Trunk1.VAV EB1A BLK.LEVEL 5.VAV EB1 1-5-5.nvoBoxFlow.Present Value,BB VAV 01-05-05 ZoneAirflow,BB_VAV_01_05_05_ZoneAirflow,BB,VAV 01-05-05,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 6.VAV EB1 1-6-1.nvoBoxFlow.Present Value,BB VAV 01-06-01 ZoneAirflow,BB_VAV_01_06_01_ZoneAirflow,BB,VAV 01-06-01,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 6.VAV EB1 1-6-2.nvoBoxFlow.Present Value,BB VAV 01-06-02 ZoneAirflow,BB_VAV_01_06_02_ZoneAirflow,BB,VAV 01-06-02,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 6.VAV EB1 1-6-3.nvoBoxFlow.Present Value,BB VAV 01-06-03 ZoneAirflow,BB_VAV_01_06_03_ZoneAirflow,BB,VAV 01-06-03,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 6.VAV EB1 1-6-4.nvoBoxFlow.Present Value,BB VAV 01-06-04 ZoneAirflow,BB_VAV_01_06_04_ZoneAirflow,BB,VAV 01-06-04,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 6.VAV EB1 1-6-5.nvoBoxFlow.Present Value,BB VAV 01-06-05 ZoneAirflow,BB_VAV_01_06_05_ZoneAirflow,BB,VAV 01-06-05,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 6.VAV EB1 1-6-6.nvoBoxFlow.Present Value,BB VAV 01-06-06 ZoneAirflow,BB_VAV_01_06_06_ZoneAirflow,BB,VAV 01-06-06,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 6.VAV EB1 1-6-7.nvoBoxFlow.Present Value,BB VAV 01-06-07 ZoneAirflow,BB_VAV_01_06_07_ZoneAirflow,BB,VAV 01-06-07,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 6.VAV EB1 1-6-8.nvoBoxFlow.Present Value,BB VAV 01-06-08 ZoneAirflow,BB_VAV_01_06_08_ZoneAirflow,BB,VAV 01-06-08,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 2_1A.VAV EB1A 2-2-1.nvoBoxFlow.Present Value,BB VAV 02-02-01 ZoneAirflow,BB_VAV_02_02_01_ZoneAirflow,BB,VAV 02-02-01,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 2_1A.VAV EB1A 2-2-2.nvoBoxFlow.Present Value,BB VAV 02-02-02 ZoneAirflow,BB_VAV_02_02_02_ZoneAirflow,BB,VAV 02-02-02,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 2_1A.VAV EB1A 2-2-3.nvoBoxFlow.Present Value,BB VAV 02-02-03 ZoneAirflow,BB_VAV_02_02_03_ZoneAirflow,BB,VAV 02-02-03,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 2_1A.VAV EB1A 2-2-4.nvoBoxFlow.Present Value,BB VAV 02-02-04 ZoneAirflow,BB_VAV_02_02_04_ZoneAirflow,BB,VAV 02-02-04,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 2_1A.VAV EB1A 2-2-5.nvoBoxFlow.Present Value,BB VAV 02-02-05 ZoneAirflow,BB_VAV_02_02_05_ZoneAirflow,BB,VAV 02-02-05,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 2_1A.VAV EB1A 2-2-6.nvoBoxFlow.Present Value,BB VAV 02-02-06 ZoneAirflow,BB_VAV_02_02_06_ZoneAirflow,BB,VAV 02-02-06,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 3.VAV EB1 2-3-1.nvoBoxFlow.Present Value,BB VAV 02-03-01 ZoneAirflow,BB_VAV_02_03_01_ZoneAirflow,BB,VAV 02-03-01,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 3.VAV EB1 2-3-2.nvoBoxFlow.Present Value,BB VAV 02-03-02 ZoneAirflow,BB_VAV_02_03_02_ZoneAirflow,BB,VAV 02-03-02,ZoneAirflow,VAVZoneAirflow,Analog
PC100818B:NAE55-3/LON Trunk.VAV EB1 BLK.LEVEL 3.VAV EB1 2-3-3.nvoBoxFlow.Present Value,BB VAV 02-03-03 ZoneAirflow,BB_VAV_02_03_03_ZoneAirflow,BB,VAV 02-03-03,ZoneAirflow,VAVZoneAirflow,Analog
